Ticker,media_diaria,volatilidad_diaria,minimo,maximo,observaciones,media_anualizada_aprox,volatilidad_anualizada_aprox
AAPL,,,,,0,,
BTC-USD,0.0005129594818061058,0.03044952036976165,-0.17405255177667042,0.17182056188812328,1949,0.12926578941513867,0.4833711506375091
SPY,0.0005207737483333636,0.010975894721366647,-0.060326445117786044,0.09986278391659298,1047,0.13123498458000762,0.17423692709497637
